"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_bloc.dart", "Dart", 73, 19, 18, 110
"d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_event.dart", "Dart", 15, 0, 8, 23
"d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\bloc\prepared_order_state.dart", "Dart", 20, 0, 5, 25
"d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\order_prepared_page.dart", "Dart", 46, 0, 6, 52
"d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_bloc.dart", "Dart", 75, 19, 18, 112
"d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_event.dart", "Dart", 15, 0, 8, 23
"d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\bloc\preparing_order_state.dart", "Dart", 20, 0, 5, 25
"d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\order_preparing_page.dart", "Dart", 46, 0, 6, 52
"d:\Flutter Application\book_store_manager\lib\screens\order_status\views\order_status_tab.dart", "Dart", 16, 0, 4, 20
"d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_bloc.dart", "Dart", 124, 0, 30, 154
"d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_event.dart", "Dart", 47, 0, 24, 71
"d:\Flutter Application\book_store_manager\lib\screens\product_create\bloc\create_product_state.dart", "Dart", 94, 0, 6, 100
"d:\Flutter Application\book_store_manager\lib\screens\product_create\create_product_page.dart", "Dart", 322, 0, 7, 329
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\booktype_selector.dart", "Dart", 81, 0, 4, 85
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\custom_textfield.dart", "Dart", 76, 0, 6, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\images_grid.dart", "Dart", 119, 0, 9, 128
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\publishing_year_selector.dart", "Dart", 78, 0, 4, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\textfield_title.dart", "Dart", 26, 0, 4, 30
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_bloc.dart", "Dart", 39, 0, 10, 49
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_event.dart", "Dart", 22, 0, 7, 29
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_state.dart", "Dart", 24, 0, 5, 29
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\photo_gallery_view.dart", "Dart", 73, 0, 8, 81
